age,age_group,gender,weight (kg),height (m),max_BPM,avg_BPM,resting_BPM,session_duration (hours),calories_burned,workout_type,fat_percentage,water_intake (liters),workout_frequency (days/week),experience_level,bmi,bmi_category
33,adult,Female,129.9,1.69,168,152,74,1.61,810,Strength,27.5,3.5,,2,23.37,normal
50,senior,Female,69.3,,162,126,62,1.33,1138,Strength,25.6,1.5,3,1,22.79,normal
19,young adult,Female,40,1.77,179,139,74,1.22,1173,Yoga,27.7,1.6,3,3,19.2,normal
27,young adult,Male,112.6,1.79,174,167,60,0.69,1282,Strength,28.6,1.5,2,1,22.96,normal
49,senior,Male,54.2,1.64,182,147,64,0.95,914,NA,19,3.2,2,2,23.01,normal
46,senior,Male,108.9,1.86,162,165,74,1.42,936,Strength,22.2,1.9,4,2,27.29,overweight
37,adult,,69.4,1.61,173,169,66,1.09,948,Strength,28.3,1.5,2,1,12.32,underweight
52,senior,Male,40,1.6,194,,73,1.48,1156,Yoga,23.4,2.3,4,2,27.66,overweight
26,young adult,Male,43.2,1.8,185,149,52,1.87,1019,Cardio,23.5,2.1,4,2,27.59,overweight
45,senior,,68.7,1.7,179,126,74,1.05,1161,Cardio,22.9,3.1,4,3,24.13,normal
18,young adult,Female,61.1,1.74,191,159,69,1.36,1311,HIIT,15.6,3.4,2,2,16.61,underweight
38,adult,Male,85.5,1.77,175,156,50,1.13,766,HIIT,14.6,3.4,2,1,16.38,underweight
18,young adult,Female,50.1,1.8,174,125,50,1.38,1185,HIIT,30.8,3.4,3,2,29.04,overweight
45,senior,Male,129.9,1.75,197,154,73,1.97,757,Cardio,23.5,2.4,5,1,36.13,obese
47,senior,Female,93.3,1.73,184,123,62,1.45,998,Yoga,15.1,1.7,4,2,12.32,underweight
45,senior,Female,73.7,1.7,190,167,67,1.11,1100,Yoga,29.1,1.8,2,1,15.88,underweight
55,senior,Female,69.4,1.56,175,134,70,1.48,734,Yoga,16.8,,4,2,23.63,normal
18,young adult,Male,86.1,2,180,158,72,1.27,1173,HIIT,19.7,3.5,2,3,13.06,underweight
20,young adult,Female,,1.5,198,128,50,0.97,906,Cardio,31.2,3.4,2,1,21.03,normal
18,young adult,Female,40,1.77,189,137,74,0.6,829,Cardio,24.7,2.6,4,1,16.35,underweight
46,senior,Female,40.8,1.71,191,162,52,0.93,903,Yoga,14.2,1.9,2,,39.04,obese
43,adult,Male,56.4,1.8,174,161,74,1.03,327,Strength,10,3.2,3,1,21.21,normal
45,senior,Female,60.7,1.63,170,139,74,1.18,1356,Cardio,10,3.3,3,3,12.32,underweight
43,adult,Female,40,1.69,187,162,66,0.9,886,Strength,28,2.2,2,1,26.48,overweight
29,young adult,Female,84.4,1.67,184,160,74,1.28,1475,Yoga,10,2.1,5,2,17.62,underweight
18,young adult,Female,67.5,1.71,185,166,58,1.81,1162,Cardio,10.6,3.5,3,2,37.91,obese
21,young adult,Female,62.1,1.68,173,158,71,1.23,1186,Yoga,26.4,3.5,4,1,15.6,underweight
41,adult,Male,83.7,1.92,161,163,59,1.37,1308,Cardio,21.4,1.5,2,2,17.48,underweight
26,young adult,Female,80.6,1.86,195,127,53,2,564,Strength,23.1,1.5,3,2,29.21,overweight
33,adult,Male,60.8,1.78,189,147,73,1.04,951,Cardio,27.3,3.3,4,2,,underweight
18,young adult,Male,44.8,1.81,164,,57,1.2,742,HIIT,23.5,3.3,4,3,19.04,normal
21,young adult,Male,62.3,1.91,198,141,51,1.47,1394,Yoga,22.7,1.8,3,2,17.4,underweight
49,senior,Female,97.4,1.67,171,132,72,1.97,1091,Cardio,30.4,3.6,3,1,12.32,underweight
19,young adult,Male,51.4,1.78,167,154,70,2,1218,Yoga,29.8,2.1,3,2,13.61,underweight
31,adult,Male,79.1,1.74,192,167,74,0.93,1157,Cardio,18.7,1.9,2,3,13.83,underweight
43,adult,Male,57.5,2,172,126,64,1.4,735,Cardio,16.9,2.1,3,1,20.98,normal
43,adult,Female,70.6,1.71,193,148,54,1.28,725,Cardio,27.1,3.6,3,1,22.55,normal
18,young adult,Female,72.5,1.79,173,140,67,1.34,1629,Strength,27.3,2.7,5,1,19.58,normal
44,adult,Female,68,1.66,182,146,68,0.82,1278,HIIT,20.7,3,5,1,16.02,underweight
21,young adult,Female,121.6,1.78,182,151,50,1.81,1242,Yoga,21,3.5,4,2,16.63,underweight
44,adult,Male,55.1,1.9,196,165,55,1.26,901,NA,26.9,2.6,3,1,22.13,normal
58,senior,Female,51.2,1.72,165,139,70,0.79,1612,Yoga,20.6,2.1,3,3,36.29,obese
35,adult,Female,60.8,1.64,161,127,74,1.57,1132,Yoga,20.7,3.7,3,3,19.54,normal
18,young adult,Male,49.8,1.96,199,162,74,1.64,996,Strength,,2.3,4,2,14.35,underweight
26,young adult,Female,64.7,1.75,172,157,52,1.35,1193,Yoga,23.5,1.6,3,2,18.21,underweight
24,young adult,Female,58.5,1.87,183,128,74,1.36,1034,HIIT,24.8,3.3,4,1,24.49,normal
31,adult,Female,49.1,1.7,162,167,63,1.1,891,Strength,23.5,2.9,3,1,15.73,underweight
39,adult,Female,67.8,1.59,164,158,74,1.65,1374,Strength,25.9,2.6,5,2,25,overweight
22,young adult,Male,43.3,1.69,176,158,53,1.31,500,NA,23.7,1.5,2,2,13.83,underweight
44,adult,Female,40.8,1.74,177,165,72,0,384,HIIT,10,,3,1,13.11,underweight
18,young adult,Male,71.5,1.69,186,124,60,1.53,763,Yoga,16.9,2.5,2,1,15.8,underweight
50,senior,Male,41.1,1.51,169,152,63,2,1069,Strength,24.9,1.5,4,2,31.59,obese
27,young adult,Male,52.3,1.6,177,124,66,0.93,416,Strength,22.5,,5,2,31.64,obese
28,young adult,Male,73.2,1.76,171,159,61,1.21,973,HIIT,26.4,2,4,1,12.32,underweight
41,adult,Female,117.7,1.67,189,123,58,2,1243,Yoga,26.2,3.2,2,1,17.26,underweight
31,adult,Male,63.8,1.74,199,140,55,1.5,741,HIIT,28.1,1.6,3,2,25.22,overweight
31,adult,Male,62.1,1.71,172,169,55,1.52,854,HIIT,27.4,3.7,3,3,,underweight
18,young adult,Male,52,1.66,199,137,74,2,1314,Cardio,26.7,3.3,3,1,20.41,normal
25,young adult,Female,73.3,1.5,185,169,67,1.38,433,Strength,30.6,1.5,4,1,22.55,normal
18,young adult,Male,50,1.83,163,140,64,1.41,969,Yoga,19,1.9,3,2,14.29,underweight
34,adult,Male,90,1.74,194,167,57,1.36,764,Cardio,25,2.6,4,2,13.77,underweight
39,adult,Male,109.6,1.84,199,152,74,1.27,790,HIIT,26.7,3.5,2,2,19.77,normal
18,young adult,Male,43.5,1.77,161,136,57,2,452,Cardio,24.4,3.3,5,1,21.96,normal
20,young adult,Male,115.4,1.73,187,154,63,1.12,878,Yoga,30.7,3.5,3,1,27.02,overweight
22,young adult,Male,47.4,1.91,161,164,73,2,1206,Cardio,26.6,3.5,5,3,15.36,underweight
18,young adult,Male,54.6,1.66,189,142,64,1.19,523,HIIT,34.7,2.6,2,1,18.88,normal
36,adult,Male,40,2,193,121,,1.98,1282,Yoga,25.7,2.6,4,1,27.96,overweight
26,young adult,Female,71.2,2,169,159,52,1.42,749,Strength,29.8,3.5,4,2,27.16,overweight
53,senior,Female,46.4,1.7,169,120,72,1.49,1415,Yoga,21.9,3.4,4,2,14.08,underweight
18,young adult,Female,69.9,1.78,160,143,74,2,930,HIIT,19.6,2,3,3,12.32,underweight
20,young adult,Male,64.9,1.69,187,128,54,0.68,1303,Cardio,10,3.3,4,3,14.87,underweight
43,adult,Female,47.6,1.65,198,140,61,2,692,Cardio,22,3.5,3,2,22.14,normal
23,young adult,Male,48.9,1.7,168,156,65,1.4,1776,Yoga,32.5,2.1,,2,21.36,normal
38,adult,,78.6,1.98,194,136,69,1.3,1590,Strength,27.2,2.3,4,2,25.52,overweight
51,senior,Female,72.2,1.91,184,140,70,1.39,960,HIIT,21,1.5,3,2,17.41,underweight
54,senior,Female,79.8,1.94,163,120,63,1.53,827,Yoga,25.3,3.3,4,2,12.32,underweight
22,young adult,Male,62.8,1.71,182,153,70,2,816,Yoga,15.8,,3,2,14.23,underweight
26,young adult,Female,122.7,,191,151,72,1.14,524,Strength,24.3,1.5,2,3,17.44,underweight
23,young adult,Female,52.4,1.86,166,130,59,1.53,880,Yoga,21.6,1.5,4,2,12.32,underweight
42,adult,,67.7,1.82,199,125,55,0.76,1239,Cardio,15,3.4,2,2,21.78,normal
34,adult,Female,88.8,1.56,198,160,53,1.18,1086,Cardio,32.6,3.4,4,2,30.43,obese
29,young adult,Female,101.5,1.9,175,165,74,1.46,1128,Yoga,26.3,2.7,2,1,25.74,overweight
18,young adult,Male,40,1.72,195,137,52,2,1783,Cardio,18.6,1.5,4,1,12.77,underweight
24,young adult,Male,40,2,173,126,50,1.1,1783,Cardio,31.9,1.6,3,1,34.62,obese
,teen,Male,50.5,1.76,192,156,72,1.25,768,Cardio,12.8,1.7,4,2,16.06,underweight
41,adult,Female,66.2,1.83,196,126,74,1.6,993,Yoga,20.2,2.5,5,1,24.37,normal
37,adult,Female,77.5,1.5,175,142,70,1.58,1141,Yoga,21.2,1.8,3,,12.32,underweight
30,adult,Female,119.6,1.72,191,150,74,1.77,1006,Yoga,13.1,2.2,4,3,13.32,underweight
38,adult,Male,40,1.5,172,169,59,1.52,1107,HIIT,24.9,2.8,3,1,36.71,obese
18,young adult,Male,82.3,1.74,198,155,55,1.38,1368,Strength,26,3.3,2,3,17.15,underweight
54,senior,Male,71.2,1.7,190,120,58,1.21,708,NA,14.4,3.1,4,2,12.46,underweight
34,adult,Male,53,1.92,199,134,68,1.12,790,Strength,19.8,3.5,4,3,16.18,underweight
56,senior,Female,45.7,1.96,192,153,71,2,868,Yoga,11.4,2,4,2,21.34,normal
18,young adult,Female,79.6,1.75,168,125,54,1.26,682,HIIT,25.1,2.4,3,2,12.32,underweight
42,adult,Female,105.3,1.67,175,143,74,1.1,1115,Strength,25.4,3.3,3,1,12.32,underweight
31,adult,Male,84.5,1.56,194,124,70,1.31,734,Strength,23.6,3.3,2,2,21.57,normal
50,senior,Male,98.6,1.54,187,126,57,0.72,940,Strength,23.5,1.6,3,1,12.32,underweight
27,young adult,Male,55.4,1.72,186,153,74,2,1281,Strength,10.9,2.4,4,2,14.56,underweight
41,adult,Female,40,1.77,168,154,74,1.14,628,HIIT,19.9,3.4,5,1,24.52,normal
26,young adult,Female,63.9,1.75,199,121,72,2,638,HIIT,23.6,3.4,4,2,23.96,normal
47,senior,Male,40,1.91,185,,74,1.41,608,Cardio,24.3,2.9,3,1,27.2,overweight
31,adult,Female,40,2,192,134,55,1.44,1116,Strength,12,2.6,2,2,21.2,normal
27,young adult,Male,91.9,1.5,185,154,60,1.08,825,HIIT,28.8,3.2,5,2,21.07,normal
20,young adult,Female,42.4,1.69,198,129,58,0.77,1030,HIIT,28.1,1.5,,1,20.39,normal
21,young adult,Male,76.8,1.52,191,140,66,1.08,702,Cardio,21,3.6,3,2,25.59,overweight
47,senior,Female,70.7,1.66,195,169,60,1.25,1033,Yoga,16.7,3.5,4,2,14.61,underweight
33,adult,Male,40,1.88,196,162,58,1.59,1131,Yoga,30.4,2.6,3,1,21.91,normal
59,senior,Male,40,1.56,163,167,74,1.59,722,Cardio,23.7,3.2,4,3,12.32,underweight
43,adult,Male,46.8,1.67,178,141,64,1.03,1403,Cardio,26.1,3.2,3,1,14.13,underweight
27,young adult,Male,100.7,1.75,163,166,61,1.28,1159,Cardio,28.1,3.7,3,1,12.32,underweight
44,adult,Female,73.4,1.59,199,152,72,0.94,721,Cardio,23,2.2,4,1,33.25,obese
22,young adult,Male,63.4,1.83,196,169,71,1.66,466,Cardio,28,3.4,2,3,24.61,normal
19,young adult,Female,129.9,1.71,161,169,56,2,443,Yoga,29.6,2.4,4,2,12.32,underweight
24,young adult,Female,48.3,1.73,193,136,62,1.98,1404,Strength,22,3.5,3,1,13.22,underweight
45,senior,Female,80.5,1.89,183,134,74,1.02,1311,HIIT,24.6,1.9,4,1,12.32,underweight
35,adult,Female,42.9,1.51,163,131,74,2,526,Cardio,15.3,3.3,5,,13.74,underweight
18,young adult,Male,74.6,1.88,177,166,53,2,1010,Cardio,18,2.2,5,1,30.5,obese
21,young adult,Male,66.7,1.93,175,166,63,1.26,949,Yoga,27.8,3.4,2,2,13.53,underweight
31,adult,Female,55,1.6,172,164,53,1.85,1361,Strength,20.6,3.4,4,1,16.04,underweight
27,young adult,Female,52.3,1.77,193,130,57,2,993,Yoga,25.6,,4,1,15.08,underweight
46,senior,Male,65.7,1.75,192,135,59,1.31,881,Strength,10,2.7,2,1,31.78,obese
53,senior,Female,84.7,1.61,193,158,72,2,478,Yoga,25.6,2.4,3,1,18.57,normal
18,young adult,,80.4,1.97,172,137,74,1.62,617,Strength,22.4,3.4,3,1,16.91,underweight
18,young adult,Female,63.4,1.85,191,148,69,0.89,1106,Strength,21.4,2.3,5,3,15.64,underweight
48,senior,Female,61.8,1.71,172,140,62,1.37,1266,Cardio,28.6,3.6,4,1,23.64,normal
53,senior,,64.4,1.58,198,158,74,1.82,1144,Yoga,27.2,3,2,1,18.33,underweight
25,young adult,Male,44.2,1.9,174,159,50,1.1,1293,Yoga,25.7,2.5,4,2,19.26,normal
18,young adult,Female,43.1,1.75,183,138,53,1.95,437,Cardio,19.1,3.6,2,2,18.14,underweight
18,young adult,Male,92.1,1.59,171,150,54,1.17,968,Yoga,21.8,2.4,5,2,25.66,overweight
31,adult,Male,58.7,1.66,183,149,74,1.15,1368,Cardio,23.1,2.3,4,1,12.32,underweight
44,adult,Female,59.4,1.67,197,164,53,1.31,676,Cardio,24.8,,3,2,19.28,normal
59,senior,Female,44.5,1.84,183,154,71,1.28,787,Cardio,26.5,1.7,2,2,20.22,normal
44,adult,Female,84.8,2,196,155,70,1.66,1439,HIIT,12.1,1.7,2,1,14.34,underweight
57,senior,Female,80,1.79,167,127,54,1.01,312,Yoga,24.3,2.6,4,2,13.16,underweight
20,young adult,Male,87.1,1.91,186,150,51,1.39,1431,Yoga,27,2.8,3,3,21.51,normal
27,young adult,Male,56.4,1.76,198,129,71,1.79,488,HIIT,22.9,3.3,4,1,17.49,underweight
32,adult,Male,58.4,2,179,139,60,1.21,1379,Strength,23.3,3.2,4,2,22.61,normal
42,adult,Female,68.5,1.75,187,167,54,1.3,708,Cardio,15.4,1.6,4,1,33.91,obese
48,senior,Female,77.7,1.76,,156,53,2,1153,Cardio,28.4,2.4,3,1,25.3,overweight
55,senior,Female,67.1,1.58,199,122,71,1.86,960,Strength,21.7,1.5,4,2,28.07,overweight
31,adult,Female,55.7,1.8,168,167,64,1.53,600,HIIT,34.4,2.8,4,3,25.27,overweight
39,adult,Female,63.2,1.74,181,157,54,1.62,900,Strength,13.9,2.1,5,1,15.32,underweight
40,adult,Female,64.6,1.55,198,133,74,1.39,303,Strength,21.4,1.5,2,2,16.91,underweight
35,adult,Male,55,,172,149,62,1.43,1423,Strength,30,3.5,3,2,23.55,normal
36,adult,Female,71.9,1.66,177,,73,0.96,556,Yoga,23.3,3.2,2,2,14.97,underweight
26,young adult,Female,56.7,1.73,168,144,71,0.68,1129,Strength,25.5,3.4,3,1,19.65,normal
48,senior,Male,56,1.7,164,132,50,2,1148,HIIT,26.6,3.1,2,2,19.44,normal
54,senior,Female,74.9,1.69,195,153,62,1.1,1389,Yoga,14.4,3.1,3,1,18.71,normal
55,senior,Female,,1.68,164,156,67,1.59,851,Cardio,33.1,2.8,3,2,28.23,overweight
18,young adult,Female,43,1.95,163,164,68,2,1349,Strength,18.5,3.2,2,2,12.32,underweight
59,senior,Male,70.2,1.77,172,124,68,1.47,1069,Cardio,21.4,3.5,4,1,40.19,obese
23,young adult,Male,96.5,1.8,187,155,68,0.92,1465,Yoga,29.3,3.2,3,1,12.32,underweight
30,adult,Male,56.6,2,184,125,52,1.29,918,Cardio,28.9,3.3,2,1,23.89,normal
38,adult,Female,40,1.88,164,154,70,1.63,1109,Yoga,20.7,1.7,2,2,12.64,underweight
18,young adult,Male,101.2,1.59,198,122,58,1.08,0,Strength,28.6,3.1,4,2,19.39,normal
48,senior,Female,81.9,1.8,180,165,67,1.25,1410,Cardio,24,3.5,4,2,18.28,underweight
47,senior,Male,121.4,1.61,164,155,74,0.94,934,Strength,24.7,2.5,2,1,30.03,obese
21,young adult,Female,70.5,1.84,173,127,66,0.97,1013,Cardio,26.7,1.6,5,3,25.59,overweight
23,young adult,Female,70.5,1.65,192,162,50,0.63,1186,Cardio,27.1,2.6,2,2,20.02,normal
46,senior,Male,54.8,1.69,194,148,74,0.52,846,Yoga,16.5,3.5,3,3,22.85,normal
42,adult,Male,72,1.9,184,147,67,1.48,1047,Yoga,15.6,3.4,3,1,24.6,normal
29,young adult,Male,56.3,1.81,189,166,65,1.39,1066,Strength,14.3,2.9,3,1,22.34,normal
18,young adult,Male,46.5,1.54,198,169,55,0,1060,Cardio,28.9,3.1,5,1,14.01,underweight
47,senior,Female,51.4,1.88,176,125,58,0.88,1133,Yoga,24,3.3,3,3,14.3,underweight
43,adult,Male,42.6,1.62,189,169,74,1,1213,Strength,13.6,3.5,2,,21.81,normal
18,young adult,Male,73,1.78,161,131,50,2,1319,Strength,26.1,1.5,5,1,12.32,underweight
50,senior,Male,87.9,1.68,192,151,71,2,494,Strength,15.5,3.1,3,3,31.28,obese
35,adult,Male,53,1.67,183,128,72,1.29,682,Yoga,21.9,2.2,3,2,16.71,underweight
43,adult,Female,46.3,1.61,190,136,69,2,1185,Yoga,21.4,3.5,4,1,14.14,underweight
50,senior,Male,82.8,1.9,161,130,74,1.51,1151,NA,16.8,3.3,4,3,28.59,overweight
53,senior,Female,82.9,1.6,170,148,55,1.93,541,HIIT,17.8,2.5,3,2,12.33,underweight
18,young adult,Female,71.9,1.54,177,120,73,1.17,817,Strength,16.8,2.6,3,1,29.64,overweight
27,young adult,Male,41,1.82,171,138,53,1.47,1273,Cardio,29.1,2.4,4,1,12.35,underweight
18,young adult,Female,81.9,1.79,178,160,60,1.24,1172,NA,28.5,1.7,3,3,12.32,underweight
18,young adult,Male,67.7,1.69,192,123,57,1.44,1445,Cardio,26.8,3.1,3,2,21.16,normal
22,young adult,Female,99.5,1.79,186,122,56,1.45,1783,Cardio,27.6,3.5,2,2,23.56,normal
31,adult,Female,47.4,1.73,178,150,57,1.64,962,Cardio,28.8,2,4,3,20.91,normal
18,young adult,Male,71.1,1.84,189,127,74,0.85,1303,Strength,15.2,2.8,2,3,30.36,obese
22,young adult,Male,89.8,1.79,179,163,59,2,1098,Strength,28.2,1.7,3,1,12.32,underweight
28,young adult,Female,81.7,1.81,177,130,50,1.45,507,Cardio,23.2,1.7,3,1,34.26,obese
40,adult,Male,40.4,1.68,171,130,54,2,527,Strength,27.3,3.3,4,3,20.47,normal
56,senior,Male,40,1.63,181,133,50,0.89,1674,Yoga,23.4,1.5,3,2,20.75,normal
41,adult,Male,40.2,1.76,198,135,56,1.93,964,Strength,18.8,3.4,4,1,19.02,normal
47,senior,Male,49.9,1.74,190,120,65,1.97,406,HIIT,29.4,1.5,5,2,16.01,underweight
42,adult,Male,41.9,1.84,168,154,71,1.49,1029,NA,30.6,2.6,4,2,22.97,normal
26,young adult,Male,40,1.72,164,169,58,0.89,1198,HIIT,17,1.6,5,2,20.71,normal
18,young adult,Male,47.3,1.75,196,169,56,1.32,706,Cardio,29,1.9,2,2,30.5,obese
54,senior,Male,79.6,1.87,190,155,53,0,884,Strength,27.7,3.5,2,2,12.32,underweight
19,young adult,Female,76.6,1.84,188,138,71,1.72,699,HIIT,28.3,3.5,4,1,19.76,normal
32,adult,Female,69.5,1.65,192,140,52,1.71,1163,Cardio,29.8,3.5,4,1,15.8,underweight
46,senior,Female,68.6,1.63,177,150,58,2,1074,Strength,25.8,3.6,3,3,19.42,normal
46,senior,Male,73,2,184,123,64,0.9,1159,Cardio,10,3.4,5,3,14.91,underweight
52,senior,Female,40.8,1.71,181,169,73,1.44,303,Yoga,28.3,1.6,3,1,18.31,underweight
19,young adult,Male,42.1,1.6,194,148,73,1.27,1305,Cardio,12.7,3.3,2,2,16.65,underweight
34,adult,Male,40,1.82,176,141,66,1.34,1709,Cardio,24.1,3,4,1,15.3,underweight
18,young adult,Female,67.1,1.71,174,165,74,1.84,577,Strength,27.1,2.7,4,3,24.9,normal
53,senior,Male,67.2,1.68,190,138,55,1.67,924,NA,22.6,1.5,3,1,13.91,underweight
29,young adult,Male,72.1,2,166,124,67,2,1582,Strength,32.7,3.4,3,2,21.75,normal
49,senior,Female,62,1.87,195,125,74,1.04,842,HIIT,20,3.5,3,1,22.02,normal
52,senior,Male,71.3,1.84,197,126,73,1.22,765,Cardio,29.2,1.8,2,,12.32,underweight
28,young adult,,85.6,1.54,168,128,59,1.45,860,Yoga,14.9,2.4,4,1,12.32,underweight
21,young adult,Male,51.9,1.57,170,167,73,1.25,1082,Strength,27.5,1.6,3,2,18.89,normal
33,adult,Male,92.8,1.59,161,150,52,1.19,1640,Cardio,23.8,2.6,3,3,15.84,underweight
58,senior,Female,40,1.7,193,120,52,0.99,1178,Yoga,21.2,2.5,5,1,12.32,underweight
36,adult,Female,44.9,1.79,166,120,74,1.66,811,HIIT,16.2,3.3,3,1,29.4,overweight
33,adult,Male,78.6,1.7,161,168,65,2,855,Cardio,10,3.2,2,1,16.53,underweight
42,adult,Female,54,1.69,179,169,53,1.19,458,NA,25.7,3.3,3,3,14.91,underweight
29,young adult,Male,53.8,1.66,163,133,64,2,1187,Strength,34.5,1.5,4,1,23.95,normal
26,young adult,Female,91.7,1.58,167,120,52,1.65,1334,Cardio,29.2,2.6,2,2,,underweight
44,adult,Male,63.3,1.88,189,150,74,1.02,1184,Strength,16.5,3.5,4,1,13.03,underweight
42,adult,Female,98.1,1.73,165,120,69,1.52,477,Yoga,21.7,1.9,2,2,15.29,underweight
39,adult,Male,129.9,1.81,190,140,74,1.89,0,HIIT,14.9,2.5,2,3,26.54,overweight
56,senior,,40,1.85,194,158,67,1.43,1633,Yoga,30.6,1.9,4,1,21.57,normal
32,adult,Male,87.2,1.5,193,152,58,1.28,1538,Cardio,23.2,2.1,3,3,16.29,underweight
31,adult,Male,64.8,1.71,174,164,57,1.64,857,HIIT,26.2,2.7,4,,23.64,normal
48,senior,Male,51.6,1.8,181,161,68,0.82,1487,Cardio,22.5,1.9,4,2,13.29,underweight
21,young adult,Male,69.4,1.85,177,153,74,1.55,879,Strength,10,2.4,3,2,17.58,underweight
38,adult,Female,77.4,1.54,169,149,50,2,867,Strength,29,3.6,5,2,13.58,underweight
58,senior,Female,76.3,1.56,190,145,72,2,913,Strength,,3.3,3,3,16.67,underweight
42,adult,Female,82.3,1.94,198,132,57,1.46,1050,Yoga,10,3.2,3,2,20.23,normal
40,adult,Female,95.5,1.84,196,144,68,1.94,1568,Yoga,26.7,3.7,3,1,17.55,underweight
19,young adult,Male,60.7,1.7,183,128,74,1.22,817,Strength,20.9,2.8,4,1,35.87,obese
34,adult,Male,40,1.88,188,131,54,1.29,840,Cardio,11.9,1.9,3,3,18.81,normal
37,adult,Female,63.1,1.84,185,158,56,1.3,1248,HIIT,31.9,3.5,3,1,26.39,overweight
51,senior,Female,55.7,1.5,188,143,58,1.19,1302,HIIT,27.7,2,3,1,28.28,overweight
52,senior,Male,53.1,1.55,184,167,50,1.95,1205,Strength,14.6,3.5,5,1,12.32,underweight
52,senior,Female,65.8,1.82,168,167,71,1.15,751,Strength,17.1,1.5,3,1,32.86,obese
18,young adult,Female,,1.72,169,136,66,2,945,Strength,22.8,3.3,4,2,26.19,overweight
35,adult,Female,40.4,1.71,176,130,70,1.97,1110,HIIT,17,3.6,4,3,29.32,overweight
45,senior,Male,40,1.75,194,120,50,1.67,1296,Yoga,28.8,1.9,3,3,26.88,overweight
31,adult,Male,40,2,176,162,69,1.45,949,Cardio,26.9,3.2,3,2,30.36,obese
27,young adult,Male,40,1.68,166,128,59,1.6,1112,Yoga,10,2.6,4,2,19.67,normal
27,young adult,Female,60.1,1.94,184,162,74,2,0,Strength,27.2,3.4,3,1,14.02,underweight
18,young adult,Male,73,1.89,172,153,56,1.19,596,Cardio,15.6,3.4,5,1,17.22,underweight
35,adult,Female,127.6,1.65,174,156,56,1.9,1084,HIIT,20.4,3.4,5,1,15.36,underweight
49,senior,Female,,1.72,171,122,73,1.02,614,HIIT,21.6,1.8,4,1,18.86,normal
18,young adult,,40,1.68,178,147,71,2,831,HIIT,17.3,3.5,4,1,24.89,normal
19,young adult,Female,43.6,1.7,168,126,55,1.42,685,HIIT,23.9,1.5,4,3,19.35,normal
24,young adult,Male,54,1.71,191,169,71,1.23,730,Cardio,29,2.7,2,2,15.39,underweight
44,adult,Male,53.1,1.64,160,160,74,1.65,749,Cardio,27,3.2,,2,27.79,overweight
21,young adult,Female,87.8,1.88,195,133,74,1.95,621,HIIT,19.9,3.4,3,3,20.22,normal
42,adult,Male,67.4,1.91,191,146,52,1.26,0,HIIT,26.9,3.7,3,3,23.62,normal
38,adult,Male,82.7,2,178,138,72,1.46,1219,Yoga,25.8,3.6,4,1,24.74,normal
33,adult,Male,84,1.7,194,156,73,0.5,580,Cardio,20.5,2.5,3,3,13.38,underweight
18,young adult,Female,58.4,1.87,167,168,74,1.42,1306,Cardio,26.9,3.2,2,1,17.66,underweight
48,senior,Male,63.8,1.79,185,135,71,1.69,1242,HIIT,29.7,1.5,4,1,25.54,overweight
45,senior,Male,94.6,1.69,178,147,56,1.95,1105,Yoga,29.9,1.8,2,2,15.15,underweight
21,young adult,Female,40,1.58,165,134,69,1.05,624,Strength,29.2,1.7,3,1,12.47,underweight
59,senior,Female,71.1,1.73,184,125,66,1.07,691,Cardio,25.2,2.6,2,3,34.41,obese
19,young adult,,116.6,1.72,187,126,70,1.1,779,Strength,23.8,2.6,3,2,16.61,underweight
36,adult,Female,55,1.77,161,142,74,1.04,1564,NA,19.8,3.2,2,2,21.97,normal
33,adult,Female,76.3,1.88,169,161,69,0,1265,Cardio,24.2,1.5,4,2,14.97,underweight
22,young adult,Female,48.6,1.72,177,156,70,1.39,708,Yoga,25.4,3.4,3,1,20.42,normal
42,adult,Male,57.3,1.73,194,153,65,1.97,1132,Strength,22.2,3.2,4,1,19.54,normal
36,adult,Female,55.9,1.76,181,169,74,1.91,474,Strength,18.2,1.5,5,1,12.32,underweight
41,adult,Male,73.2,2,179,161,58,1.06,758,HIIT,17.6,1.8,2,1,18.61,normal
23,young adult,Male,58.7,1.69,189,135,,1.37,1231,Yoga,26.6,3.3,2,1,23.64,normal
24,young adult,Female,91.8,1.82,171,140,52,2,1065,Strength,16.1,2.7,4,2,24.37,normal
42,adult,Female,47.7,1.72,183,150,57,1.95,782,Yoga,31.4,3.1,3,,14.27,underweight
55,senior,Female,51.9,1.64,171,150,68,1.05,1619,Strength,22.8,2.2,5,3,25.06,overweight
36,adult,Male,60.1,1.78,186,169,51,1.46,1108,Cardio,35,2,3,1,16.06,underweight
18,young adult,Female,40,1.56,196,149,56,0.79,1027,Strength,27.6,1.9,2,1,12.98,underweight
23,young adult,Female,64.7,2,184,169,55,1.46,860,Strength,32.4,2.5,5,2,20.45,normal
24,young adult,Male,73,1.61,188,131,60,0.56,864,Yoga,27.4,3.6,2,2,12.36,underweight
41,adult,Male,90.3,1.76,180,,70,1.96,1596,Cardio,22.6,2.3,4,1,12.32,underweight
48,senior,Female,79.1,1.63,168,135,53,1.15,1302,Yoga,35,3.3,4,1,27.86,overweight
47,senior,Female,82.2,1.72,174,126,70,1.15,1211,Yoga,25,3.7,2,3,12.4,underweight
54,senior,Male,40,1.79,162,162,54,2,444,Yoga,16.9,2.3,5,3,22.6,normal
33,adult,Female,60.7,1.57,179,135,69,1.24,964,HIIT,26,2.9,3,1,15.19,underweight
